"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"247","no checking account",12,"critical account/other credits existing","domestic appliances",717,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",52,"none","own",3,"skilled employee/official",1,"no","yes",1
"248","no checking account",6,"no credits taken/all credits paid back duly","car (new)",1204,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",1,"unknown/no property",35,"bank","rent",1,"skilled employee/official",1,"no","no",1
"249","... >= 200 DM / salary for at least 1 year",24,"existing credits paid back duly till now","radio/television",1925,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"no","yes",1
"250","no checking account",18,"existing credits paid back duly till now",NA,433,"... < 100 DM","unemployed",3,"female : divorced/separated/married","co-applicant",4,"real estate",22,"none","rent",1,"skilled employee/official",1,"no","yes",0
"251","... < 100 DM",6,"critical account/other credits existing","car (new)",666,"... >= 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"yes","yes",1
"252","... >= 200 DM / salary for at least 1 year",12,"existing credits paid back duly till now","radio/television",2251,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"car or other",46,"none","own",1,"unskilled - resident",1,"no","yes",1
"253","0 <= ... < 200 DM",30,"existing credits paid back duly till now","car (new)",2150,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",2,"unknown/no property",24,"bank",NA,1,"skilled employee/official",1,"no","yes",0
"254","no checking account",24,"delay in paying off in the past",NA,4151,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"male : single","none",3,"building society savings agreement/life insurance",35,"none","own",2,"skilled employee/official",1,"no","yes",1
"255","0 <= ... < 200 DM",9,"existing credits paid back duly till now","radio/television",2030,"unknown/no savings account","4 <= ... < 7 years",2,"male : single","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"yes","yes",1
"256","0 <= ... < 200 DM",60,"delay in paying off in the past",NA,7418,"unknown/no savings account","1 <= ... < 4 years",1,"male : single","none",1,"real estate",27,"none","own",1,"unskilled - resident",1,"no","yes",1
"257","no checking account",24,"critical account/other credits existing","domestic appliances",2684,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",35,"none","own",2,"unskilled - resident",1,"no","yes",1
"258","... < 100 DM",12,"all credits at this bank paid back duly","domestic appliances",2149,"... < 100 DM","1 <= ... < 4 years",4,"male : divorced/separated","none",1,"unknown/no property",29,"none","for free",1,"skilled employee/official",1,"no","yes",0
"259","no checking account",15,"existing credits paid back duly till now","car (used)",3812,"100 <= ... < 500 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"car or other",23,"none","own",1,"skilled employee/official",1,"yes","yes",1
"260","no checking account",11,"critical account/other credits existing","domestic appliances",1154,"100 <= ... < 500 DM","unemployed",4,"female : divorced/separated/married","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"no","yes",1
"261","... < 100 DM",12,"existing credits paid back duly till now","radio/television",1657,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",27,"none","own",1,"skilled employee/official",1,"no","yes",1
"262","... < 100 DM",24,"existing credits paid back duly till now","domestic appliances",1603,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"car or other",55,"none","own",1,"skilled employee/official",1,"no","yes",1
"263","... < 100 DM",18,"critical account/other credits existing","car (new)",5302,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"unknown/no property",36,"none","for free",3,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"264","no checking account",12,"critical account/other credits existing","retraining",2748,"... < 100 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"unknown/no property",57,"bank","for free",3,"unskilled - resident",1,"no","yes",1
"265","no checking account",10,"critical account/other credits existing","car (new)",1231,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"no","no",1
"266","0 <= ... < 200 DM",15,"existing credits paid back duly till now","domestic appliances",802,"... < 100 DM","... >= 7 years",4,"male : single","none",3,"car or other",37,"none","own",1,"skilled employee/official",2,"no","yes",0
"267","no checking account",36,"critical account/other credits existing","others",6304,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"no","yes",1
"268","no checking account",24,"existing credits paid back duly till now","domestic appliances",1533,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"car or other",38,"stores","own",1,"skilled employee/official",1,"yes","yes",1
"269","... < 100 DM",14,"existing credits paid back duly till now","car (new)",8978,"... < 100 DM","... >= 7 years",1,"male : divorced/separated","none",4,"building society savings agreement/life insurance",45,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","no",0
"270","no checking account",24,"existing credits paid back duly till now","domestic appliances",999,"unknown/no savings account","... >= 7 years",4,"male : single","none",2,"car or other",25,"none","own",2,"skilled employee/official",1,"no","yes",1
"271","no checking account",18,"existing credits paid back duly till now","car (new)",2662,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",3,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","no",1
"272","no checking account",12,"critical account/other credits existing","radio/television",1402,"500 <= ... < 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",4,"car or other",37,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"273","0 <= ... < 200 DM",48,"all credits at this bank paid back duly","car (new)",12169,"unknown/no savings account","unemployed",4,"male : single","co-applicant",4,"unknown/no property",36,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"274","0 <= ... < 200 DM",48,"existing credits paid back duly till now","domestic appliances",3060,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"real estate",28,"none","own",2,"skilled employee/official",1,"no","yes",0
"275","... < 100 DM",30,"existing credits paid back duly till now","education",11998,"... < 100 DM","... < 1 year",1,"male : divorced/separated","none",1,"unknown/no property",34,"none","own",1,"unskilled - resident",1,"yes","yes",0
"276","no checking account",9,"existing credits paid back duly till now","domestic appliances",2697,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",2,"real estate",32,"none","own",1,"skilled employee/official",2,"no","yes",1
"277","no checking account",18,"critical account/other credits existing","domestic appliances",2404,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other",26,"none","own",2,"skilled employee/official",1,"no","yes",1
"278","... < 100 DM",12,"existing credits paid back duly till now","radio/television",1262,"unknown/no savings account","... >= 7 years",2,"male : divorced/separated","none",4,"building society savings agreement/life insurance",49,"none","own",1,"unskilled - resident",1,"yes","yes",1
"279","no checking account",6,"existing credits paid back duly till now","radio/television",4611,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","yes",0
"280","no checking account",24,"existing credits paid back duly till now","domestic appliances",1901,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other",29,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"281","no checking account",15,"critical account/other credits existing","car (used)",3368,"... >= 1000 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",23,"none","rent",2,"skilled employee/official",1,"yes","yes",1
"282","no checking account",12,"existing credits paid back duly till now","radio/television",1574,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",50,"none","own",1,"skilled employee/official",1,"no","yes",1
"283","... >= 200 DM / salary for at least 1 year",18,"all credits at this bank paid back duly","domestic appliances",1445,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",4,"car or other",49,"bank","own",1,"unskilled - resident",1,"no","yes",1
"284","no checking account",15,"critical account/other credits existing","radio/television",1520,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",63,"none","own",1,"skilled employee/official",1,"no","yes",1
"285","0 <= ... < 200 DM",24,"critical account/other credits existing","car (new)",3878,"100 <= ... < 500 DM","... < 1 year",4,"male : divorced/separated","none",2,"car or other",37,"none","own",1,"skilled employee/official",1,"yes","yes",1
"286","... < 100 DM",47,"existing credits paid back duly till now","car (new)",10722,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes","yes",1
"287","... < 100 DM",48,"existing credits paid back duly till now","car (used)",4788,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",3,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",2,"no","yes",1
"288","0 <= ... < 200 DM",48,"delay in paying off in the past","furniture/equipment",7582,"100 <= ... < 500 DM","unemployed",2,"male : single","none",4,"unknown/no property",31,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"289","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",1092,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",4,"real estate",49,"none","own",2,"skilled employee/official",1,"yes","yes",1
"290","... < 100 DM",24,"delay in paying off in the past","domestic appliances",NA,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",4,"real estate",48,"stores","own",1,"skilled employee/official",1,"no","yes",0
"291","no checking account",12,"existing credits paid back duly till now","others",1076,"... < 100 DM","1 <= ... < 4 years",2,"male : married/widowed","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"yes","no",1
"292","0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (used)",9398,"... < 100 DM","... < 1 year",1,"male : married/widowed","none",4,"car or other",28,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"293","... < 100 DM",24,"critical account/other credits existing","car (used)",6419,"... < 100 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"unknown/no property",44,"none","for free",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"294","... >= 200 DM / salary for at least 1 year",42,"critical account/other credits existing","car (used)",4796,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",56,"none","for free",1,"skilled employee/official",1,"no","yes",1
"295","no checking account",48,"critical account/other credits existing","others",7629,"unknown/no savings account","... >= 7 years",4,"male : divorced/separated","none",2,"car or other",46,"bank","own",2,"management/self-employed/highly qualified employee/officer",2,"no","yes",1
"296","0 <= ... < 200 DM",48,"existing credits paid back duly till now","radio/television",9960,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",2,"car or other",26,"none","own",1,"skilled employee/official",1,"yes","yes",0
"297","no checking account",12,"existing credits paid back duly till now",NA,4675,"unknown/no savings account","... < 1 year",1,"female : divorced/separated/married","none",4,"car or other",20,"none","rent",1,"skilled employee/official",1,"no","yes",1
"298","no checking account",10,"existing credits paid back duly till now","car (new)",1287,"unknown/no savings account","... >= 7 years",4,"male : single","co-applicant",2,"building society savings agreement/life insurance",45,"none","own",1,"unskilled - resident",1,"no","no",1
"299","no checking account",18,"existing credits paid back duly till now","radio/television",2515,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"real estate",43,"none","own",1,"skilled employee/official",1,"yes","yes",1
"300","0 <= ... < 200 DM",21,"critical account/other credits existing","radio/television",2745,"... >= 1000 DM","4 <= ... < 7 years",3,"male : single","none",2,"car or other",32,"none","own",2,"skilled employee/official",1,"yes","yes",1
"301","no checking account",6,"existing credits paid back duly till now","car (new)",672,"... < 100 DM","unemployed",1,"female : divorced/separated/married","none",4,"real estate",54,"none","own",1,"unemployed/unskilled - non-resident",1,"yes","yes",1
"302","0 <= ... < 200 DM",36,"no credits taken/all credits paid back duly","domestic appliances",3804,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",1,"car or other",42,"none","own",1,"skilled employee/official",1,"yes","yes",0
"303","... >= 200 DM / salary for at least 1 year",24,"critical account/other credits existing","car (new)",1344,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"no","yes",0
"304","... < 100 DM",10,"critical account/other credits existing","car (new)",1038,"... < 100 DM","4 <= ... < 7 years",4,"male : single","co-applicant",3,"building society savings agreement/life insurance",49,"none","own",2,"skilled employee/official",1,"yes","yes",1
"305","no checking account",48,"critical account/other credits existing","car (new)",10127,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"male : single","none",2,"unknown/no property",44,"bank","for free",1,"skilled employee/official",1,"no","yes",0
"306","no checking account",6,"existing credits paid back duly till now","radio/television",1543,"... >= 1000 DM","1 <= ... < 4 years",4,"male : divorced/separated","none",2,"real estate",33,"none","own",1,"skilled employee/official",1,"no","yes",1
"307","no checking account",30,"existing credits paid back duly till now","car (used)",4811,"unknown/no savings account","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"stores","rent",1,"unskilled - resident",1,"no","yes",1
"308","... < 100 DM",12,"existing credits paid back duly till now","domestic appliances",727,"100 <= ... < 500 DM","... < 1 year",4,"male : married/widowed","none",3,"unknown/no property",33,"none","own",1,"unskilled - resident",1,"yes","yes",0
"309","0 <= ... < 200 DM",8,"existing credits paid back duly till now","radio/television",1237,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",4,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes",0
"310","0 <= ... < 200 DM",9,"existing credits paid back duly till now","car (new)",NA,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"no","yes",1
"311","0 <= ... < 200 DM",48,"existing credits paid back duly till now","furniture/equipment",5381,"unknown/no savings account","unemployed",3,"male : single","none",4,"unknown/no property",40,"bank","for free",1,"unemployed/unskilled - non-resident",1,"yes","yes",1
"312","no checking account",24,"existing credits paid back duly till now","radio/television",NA,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",1,"car or other",25,"stores","own",1,"skilled employee/official",1,"no","yes",1
"313","... >= 200 DM / salary for at least 1 year",24,"existing credits paid back duly till now","radio/television",3749,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"car or other",26,"none","own",1,"skilled employee/official",1,"no","yes",1
"314","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",685,"... < 100 DM","4 <= ... < 7 years",2,"male : married/widowed","none",3,"car or other",25,"bank","own",1,"unskilled - resident",1,"no","yes",0
"315","... >= 200 DM / salary for at least 1 year",4,"existing credits paid back duly till now","car (new)",1494,"unknown/no savings account","... < 1 year",1,"male : single","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"no","no",1
"316","... < 100 DM",36,"all credits at this bank paid back duly","radio/television",2746,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",31,"bank","own",1,"skilled employee/official",1,"no","yes",0
"317","... < 100 DM",12,"existing credits paid back duly till now","radio/television",708,"... < 100 DM","1 <= ... < 4 years",2,"male : single","guarantor",3,"building society savings agreement/life insurance",38,"none","own",1,"unskilled - resident",2,"no","yes",1
"318","0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",4351,"unknown/no savings account","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",48,"none","own",1,"unskilled - resident",1,"yes","yes",1
"319","no checking account",12,"critical account/other credits existing","retraining",701,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",32,"none","own",2,"skilled employee/official",1,"no","yes",1
"320","... < 100 DM",15,"delay in paying off in the past","radio/television",3643,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",27,"none","own",2,"unskilled - resident",1,"no","yes",1
"321","0 <= ... < 200 DM",30,"critical account/other credits existing","car (new)",4249,"... < 100 DM","unemployed",4,"male : married/widowed","none",2,"car or other",28,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes",0
"322","... < 100 DM",24,"existing credits paid back duly till now","domestic appliances",1938,"... < 100 DM","... < 1 year",4,"male : divorced/separated","none",3,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","yes",0
"323","... < 100 DM",24,"existing credits paid back duly till now","car (used)",2910,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"unknown/no property",34,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"324","... < 100 DM",18,"existing credits paid back duly till now","radio/television",2659,"... >= 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes",1
"325","no checking account",18,"critical account/other credits existing","car (new)",1028,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",3,"real estate",36,"none","own",2,"skilled employee/official",1,"no","yes",1
"326","... < 100 DM",8,"critical account/other credits existing","car (new)",3398,"... < 100 DM","4 <= ... < 7 years",1,"male : single","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"no","no",1
"327","no checking account",12,"critical account/other credits existing","radio/television",5801,"unknown/no savings account","... >= 7 years",2,"male : single","none",4,"building society savings agreement/life insurance",49,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"328","no checking account",24,"existing credits paid back duly till now","car (new)",1525,"... >= 1000 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"car or other",34,"none","own",1,"skilled employee/official",2,"yes","yes",1
"329","... >= 200 DM / salary for at least 1 year",36,"existing credits paid back duly till now","domestic appliances",4473,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"car or other",31,"none","own",1,"skilled employee/official",1,"no","yes",1
"330","0 <= ... < 200 DM",6,"existing credits paid back duly till now","domestic appliances",NA,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",28,"none",NA,1,"skilled employee/official",2,"no","yes",1
"331","... < 100 DM",24,"critical account/other credits existing","car (used)",6615,"... < 100 DM","unemployed",2,"male : single","none",4,"unknown/no property",75,"none","for free",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"332","no checking account",18,"critical account/other credits existing","retraining",NA,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",30,"none","own",2,"skilled employee/official",1,"no","yes",0
"333","0 <= ... < 200 DM",60,"existing credits paid back duly till now","car (new)",7408,"100 <= ... < 500 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",24,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",0
"334","no checking account",48,"critical account/other credits existing","car (used)",11590,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other",24,"bank","rent",2,"unskilled - resident",1,"no","yes",0
"335","... < 100 DM",24,"no credits taken/all credits paid back duly","radio/television",NA,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",23,"bank","rent",2,"skilled employee/official",2,"no","yes",0
"336","... < 100 DM",6,"critical account/other credits existing","radio/television",3384,"... < 100 DM","1 <= ... < 4 years",1,"male : divorced/separated","none",4,"real estate",44,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"337","0 <= ... < 200 DM",13,"existing credits paid back duly till now","domestic appliances",2101,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","guarantor",4,"building society savings agreement/life insurance",23,"none","own",1,"unskilled - resident",1,"no","yes",1
"338","... < 100 DM",15,"existing credits paid back duly till now","repairs",1275,"unknown/no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other",24,"none","rent",1,"skilled employee/official",1,"no","yes",0
"339","... < 100 DM",24,"existing credits paid back duly till now","radio/television",4169,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"building society savings agreement/life insurance",28,"none","own",1,"skilled employee/official",1,"no","yes",1
"340","0 <= ... < 200 DM",10,"existing credits paid back duly till now","radio/television",1521,"... < 100 DM","1 <= ... < 4 years",4,"male : divorced/separated","none",2,"car or other",31,"none","own",1,"unskilled - resident",1,"no","yes",1
"341","0 <= ... < 200 DM",24,"critical account/other credits existing","retraining",5743,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"unknown/no property",24,"none","for free",2,"skilled employee/official",1,"yes","yes",1
"342","... < 100 DM",21,"existing credits paid back duly till now","radio/television",3599,"... < 100 DM","4 <= ... < 7 years",1,"female : divorced/separated/married","none",4,"car or other",26,"none","rent",1,"unskilled - resident",1,"no","yes",1
"343","0 <= ... < 200 DM",18,"existing credits paid back duly till now","domestic appliances",3213,"500 <= ... < 1000 DM","... < 1 year",1,"male : married/widowed","none",3,"real estate",25,"none","rent",1,"skilled employee/official",1,"no","yes",1
"344","0 <= ... < 200 DM",18,"existing credits paid back duly till now","others",4439,"... < 100 DM","... >= 7 years",1,"male : single","co-applicant",1,"real estate",33,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"345","... >= 200 DM / salary for at least 1 year",10,"existing credits paid back duly till now","car (new)",3949,"... < 100 DM","... < 1 year",1,"male : single","guarantor",1,"building society savings agreement/life insurance",37,"none","own",1,"unskilled - resident",2,"no","yes",1
"346","no checking account",15,"critical account/other credits existing","domestic appliances",1459,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other",43,"none","own",1,"unskilled - resident",1,"no","yes",1
"347","0 <= ... < 200 DM",13,"critical account/other credits existing","domestic appliances",882,"... < 100 DM","... < 1 year",4,"male : single","guarantor",4,"real estate",23,"none","own",2,"skilled employee/official",1,"no","yes",1
"348","0 <= ... < 200 DM",24,"existing credits paid back duly till now","domestic appliances",3758,"500 <= ... < 1000 DM","unemployed",1,"female : divorced/separated/married","none",4,"unknown/no property",23,"none","rent",1,"unemployed/unskilled - non-resident",1,"no","yes",1
"349","no checking account",6,"delay in paying off in the past","others",1743,"100 <= ... < 500 DM","1 <= ... < 4 years",1,"male : single","none",2,"real estate",34,"none","own",2,"unskilled - resident",1,"no","yes",1
"350","0 <= ... < 200 DM",9,"critical account/other credits existing","retraining",1136,"... >= 1000 DM","... >= 7 years",4,"male : single","none",3,"unknown/no property",32,"none",NA,2,"skilled employee/official",2,"no","yes",0
"351","no checking account",9,"existing credits paid back duly till now","repairs",1236,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"real estate",23,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"352","0 <= ... < 200 DM",9,"existing credits paid back duly till now","radio/television",959,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"car or other",29,"none","own",1,"skilled employee/official",1,"no","no",0
"353","no checking account",18,"critical account/other credits existing","car (used)",3229,"unknown/no savings account","unemployed",2,"male : single","none",4,"unknown/no property",38,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"354","... < 100 DM",12,"no credits taken/all credits paid back duly","domestic appliances",6199,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"building society savings agreement/life insurance",28,"none","rent",2,"skilled employee/official",1,"yes","yes",0
"355","no checking account",10,"existing credits paid back duly till now","retraining",727,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",46,"none","for free",1,"skilled employee/official",1,"yes","yes",1
"356","0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",1246,"... < 100 DM","... < 1 year",4,"male : single","none",2,"real estate",23,"stores","own",1,"unskilled - resident",1,"no","yes",0
"357","no checking account",12,"critical account/other credits existing","domestic appliances",2331,"unknown/no savings account","... >= 7 years",1,"male : single","co-applicant",4,"real estate",49,"none","own",1,"skilled employee/official",1,"yes","yes",1
"358","no checking account",36,"delay in paying off in the past","domestic appliances",4463,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",26,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"359","no checking account",12,"existing credits paid back duly till now","domestic appliances",776,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",2,"real estate",28,"none","own",1,"skilled employee/official",1,"no","yes",1
"360","... < 100 DM",30,"existing credits paid back duly till now","radio/television",2406,"... < 100 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",4,"real estate",23,"none","rent",1,"skilled employee/official",1,"no","yes",0
"361","0 <= ... < 200 DM",18,"existing credits paid back duly till now","retraining",1239,"unknown/no savings account","1 <= ... < 4 years",4,"male : single","none",4,"unknown/no property",61,"none","for free",1,"skilled employee/official",1,"no","yes",1
"362","... >= 200 DM / salary for at least 1 year",12,"existing credits paid back duly till now","domestic appliances",3399,"unknown/no savings account","... >= 7 years",2,"male : single","none",3,"car or other",37,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"363","... >= 200 DM / salary for at least 1 year",12,"delay in paying off in the past","car (new)",2247,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other",36,"stores","own",2,"skilled employee/official",1,"yes","yes",1
"364","no checking account",6,"existing credits paid back duly till now","radio/television",1766,"... < 100 DM","1 <= ... < 4 years",1,"male : married/widowed","none",2,"building society savings agreement/life insurance",21,"none","rent",1,"skilled employee/official",1,"no","yes",1
"365","... < 100 DM",18,"existing credits paid back duly till now","radio/television",2473,"... < 100 DM","unemployed",4,"male : single","none",1,"car or other",25,"none","own",1,"unemployed/unskilled - non-resident",1,"no","yes",0
"366","no checking account",12,"existing credits paid back duly till now","others",1542,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",4,"car or other",36,"none","own",1,"skilled employee/official",1,"yes","yes",1
"367","no checking account",18,"critical account/other credits existing","car (used)",3850,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",1,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes",1
"368","... < 100 DM",18,"existing credits paid back duly till now","radio/television",3650,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"car or other",22,"none","rent",1,"skilled employee/official",1,"no","yes",1
"369","... < 100 DM",36,"existing credits paid back duly till now","radio/television",3446,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"car or other",42,"none","own",1,"skilled employee/official",2,"no","yes",0
"370","0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",3001,"... < 100 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"real estate",40,"none","rent",1,"skilled employee/official",1,"no","yes",1
"371","no checking account",36,"existing credits paid back duly till now","car (new)",3079,"unknown/no savings account","1 <= ... < 4 years",4,"male : single","none",4,"real estate",36,"none","own",1,"skilled employee/official",1,"no","yes",1
"372","no checking account",18,"critical account/other credits existing","domestic appliances",NA,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"car or other",33,"none","own",2,"skilled employee/official",1,"yes","yes",1
"373","no checking account",10,"critical account/other credits existing","radio/television",2146,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",3,"real estate",23,"none","rent",2,"skilled employee/official",1,"no","yes",1
"374","no checking account",60,"critical account/other credits existing","car (new)",NA,"unknown/no savings account","... >= 7 years",2,"male : single","none",4,"unknown/no property",63,"bank","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"375","0 <= ... < 200 DM",60,"all credits at this bank paid back duly","furniture/equipment",14782,"100 <= ... < 500 DM","... >= 7 years",3,"female : divorced/separated/married","none",4,"unknown/no property",60,"bank","for free",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"376","... < 100 DM",48,"all credits at this bank paid back duly","others",7685,"... < 100 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","guarantor",4,"car or other",37,"none","rent",1,"skilled employee/official",1,"no","yes",0
"377","no checking account",18,"delay in paying off in the past","domestic appliances",2320,"... < 100 DM","unemployed",2,"male : married/widowed","none",3,"real estate",34,"none","own",2,"skilled employee/official",1,"no","yes",1
